"name","type","source","destination","departure","seat_count"
"KSRTC01","SuperFast","Thiruvananthapuram","Alappuzha","13:55","4"
"KSRTC02","SuperFast","Pathanamthitta","Palakkad","16:58","35"
"KSRTC08","SuperFast","Idukki","Kollam","16:58","40"
"KSRTC05","SuperFast","Malappuram","Kollam","19:00","25"
"KSRTC03","Fast Passenger","Kollam","Thiruvananthapuram","15:00","45"
"KSRTC04","Fast Passenger","Thiruvananthapuram","Thrissur","03:10","50"
"KSRTC19",Fast Passenger","Thiruvananthapuram","Kottayam","20:05","20"
"KSRTC06","Fast Passenger","Kozhikode","Kollam","07:08","30"
"KSRTC11","Ordinary","Wayanad","Pathanamthitta","18:11","35"
"KSRTC09","SuperFast","Pathanamthitta","Alappuzha","20:10","40"
"KSRTC13","Ordinary","Alappuzha","Kozhikode","02:45","45"
"KSRTC15","Fast Passenger","Thiruvananthapuram","Kottayam","11:45","50"
"KSRTC12","Ordinary","Alappuzha","Kannur","08:15","20"
"KSRTC19","SuperFast","Thiruvananthapuram","Pathanamthitta","16:56","25"
"KSRTC18","Ordinary","Thiruvananthapuram","Idukki","01:10","30"
"KSRTC16","SuperFast","Kasaragod","Thrissur","20:04","35"
"KSRTC20","SuperFast","Alappuzha","Palakkad","16:15","40"
"KSRTC60","Ordinary","Malappuram","Kottayam","23:18","45"
"KSRTC25","Fast Passenger","Wayanad","Kannur","16:39","50"
